City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Teknaf,BD,78.64,overcast clouds,20.8624,92.3058,Forestry Guesthouse
391,Cap Estate,LC,80.22,few clouds,14.0833,-60.95,Coco Palm Resort
400,Pokaran,IN,79.11,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
411,Tual,ID,81.66,light rain,-5.6667,132.75,Grand Vilia Hotel
412,Angoche,MZ,78.19,broken clouds,-16.2325,39.9086,Guest House HESADA
415,Omboue,GA,78.1,overcast clouds,-1.5746,9.2618,Hotel Olako
416,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
418,Porto Velho,BR,77.05,moderate rain,-8.7619,-63.9039,Ecos Hotel Conforto
422,Chandrakona,IN,77.83,broken clouds,22.7333,87.5167,Roy Mansion 3
428,Biak,ID,82.33,overcast clouds,-0.9131,122.8766,Penginapan Kim
430,Takaungu,KE,79.2,scattered clouds,-3.6837,39.8566,Takaungu House
432,Touros,BR,78.37,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
435,Atambua,ID,80.56,clear sky,-9.1061,124.8925,Kost Alfa Flat
444,Kingman,US,82.18,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
452,Mandera,KE,82.65,few clouds,3.9366,41.867,Hiren Hotel Mandera
455,Uribia,CO,80.19,overcast clouds,11.7139,-72.266,Hotel Uribia
458,Sur,OM,80.78,clear sky,22.5667,59.5289,Sur Plaza Hotel
475,Sibolga,ID,78.71,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
482,Carutapera,BR,75.92,overcast clouds,-1.195,-46.02,Lidera
487,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
489,Palasa,IN,78.39,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
492,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
495,Itarsi,IN,75.87,clear sky,22.6167,77.75,Hotel Vinayak Residency
498,Salalah,OM,76.95,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
508,Axim,GH,79.88,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
512,Bonthe,SL,77.11,light rain,7.5264,-12.505,Bonthe Holiday Village
514,Port-Gentil,GA,81.5,overcast clouds,-0.7193,8.7815,Fengshui Residence
519,Albury,AU,81.14,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
526,Tabou,CI,79.29,overcast clouds,4.423,-7.3528,hotêl doufoulougou
529,Jacmel,HT,76.51,broken clouds,18.2342,-72.5347,Historic Hotel Florita
530,Harper,LR,79.41,overcast clouds,4.375,-7.7169,Screensaver
536,Almirante,PA,76.06,broken clouds,9.3,-82.4,Hotel 888
537,Vao,NC,75.78,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
543,Tambun,ID,83.48,mist,-6.2641,107.0712,Metland Hotel Bekasi
547,Anori,BR,75.16,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
554,Kulim,MY,81.93,clear sky,5.365,100.5618,Tune Hotel - Kulim
568,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
570,Manokwari,ID,83.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
571,Monrovia,LR,79.38,light rain,6.3005,-10.7969,Sunset Inn
572,Wanning,CN,83.41,broken clouds,18.8003,110.3967,Paradise Hotel
573,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
582,Stephenville,US,82.53,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
585,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
589,Hervey Bay,AU,76.42,light rain,-25.2986,152.8535,Shelly Bay Resort
592,Sao Joao Da Barra,BR,78.13,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
595,Wamba,NG,79.39,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
612,Gizo,SB,81.77,light rain,-8.103,156.8419,Imagination Island
614,Pemangkat,ID,81.64,overcast clouds,1.1667,108.9667,Ramah Kost KITA
616,Trairi,BR,75.78,overcast clouds,-3.2778,-39.2689,janelas do mar
618,Tecate,MX,78.3,clear sky,32.5667,-116.6333,Hotel El Dorado
623,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
637,Dondo,MZ,80.11,overcast clouds,-19.6094,34.7431,Arco Iris
640,Gladstone,AU,82.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
648,Sinnamary,GF,77.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
651,Bubaque,GW,76.73,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
655,Mitsamiouli,KM,81.75,broken clouds,-11.3847,43.2844,Foyer ADM
658,Tarkwa,GH,75.18,overcast clouds,5.3064,-1.9847,Te Deum Lodge
661,Bluefields,NI,75.96,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
664,Olinda,BR,78.53,moderate rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
665,Limot,PH,75.13,light rain,7.0405,126.2727,Buso Hot Spring
671,Galle,LK,76.62,clear sky,6.0367,80.217,Amangalla
672,Sabang,ID,82.44,few clouds,5.8933,95.3214,Hotel Citra
