City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudness,Wind Speed
268,Lazaro Cardenas,MX,2022-03-26 18:24:33,17.9583,-102.2,84.7,30,91,9.89
269,Barra Patuca,HN,2022-03-26 18:24:34,15.8,-84.2833,82.8,60,75,10.47
270,Tecoanapa,MX,2022-03-26 18:24:34,16.5167,-98.75,84.87,41,98,10.33
271,Keffi,NG,2022-03-26 18:24:35,8.8486,7.8736,92.98,13,7,4.47
272,Beisfjord,NO,2022-03-26 18:24:36,68.3751,17.5988,28.04,96,100,4.92
273,Ouallam,NE,2022-03-26 18:24:36,14.3188,2.0866,94.93,9,62,11.7
274,Boa Vista,BR,2022-03-26 18:24:37,2.8197,-60.6733,89.58,48,75,13.8
275,San Quintin,MX,2022-03-26 18:24:38,30.4833,-115.95,66.65,69,100,7.83
276,Mayo,US,2022-03-26 18:23:58,38.8876,-76.5119,53.26,46,75,20.0
277,Thouars,FR,2022-03-26 18:24:39,46.976,-0.2151,60.21,67,0,8.97
278,Lagunillas,VE,2022-03-26 18:24:40,10.1301,-71.2595,87.17,63,84,8.12
279,Mushie,CD,2022-03-26 18:24:41,-3.0167,16.9,80.44,63,97,3.8
280,Algiers,DZ,2022-03-26 18:20:48,36.7525,3.042,58.82,82,75,8.05
281,Banamba,ML,2022-03-26 18:24:42,13.55,-7.45,98.92,17,4,0.63
282,Arcachon,FR,2022-03-26 18:24:43,44.5875,-1.0519,66.52,32,0,8.05
283,Perwez,BE,2022-03-26 18:24:44,50.6167,4.8167,59.23,54,0,8.05
284,San Jose,US,2022-03-26 18:25:44,37.3394,-121.895,69.26,56,20,5.75
285,Riviere-Au-Renard,CA,2022-03-26 18:25:45,48.9957,-64.3971,35.89,95,91,5.1
286,Ucluelet,CA,2022-03-26 18:25:46,48.9329,-125.5528,48.09,88,100,1.01
287,Koudougou,BF,2022-03-26 18:25:47,12.25,-2.3667,101.05,15,70,8.72
288,Santa Marta,CO,2022-03-26 18:25:47,11.2408,-74.199,87.85,69,20,10.36
