City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Beni Mazar,EG,28.4962,30.8029,54.07,50,0,11.86,clear sky
130,Eastlake,US,41.6539,-81.4504,35.47,84,100,15.99,overcast clouds
131,Constitucion,CL,-35.3333,-72.4167,53.08,89,79,7.63,broken clouds
132,Dongtai,CN,32.8523,120.3095,55.98,71,100,8.93,overcast clouds
133,Quatre Cocos,MU,-20.2078,57.7625,79.09,78,23,9.22,few clouds
134,Nouadhibou,MR,20.931,-17.0347,62.58,94,100,6.91,overcast clouds
135,Thinadhoo,MV,0.5333,72.9333,81.52,69,0,8.23,clear sky
136,Chuy,UY,-33.6971,-53.4616,63.1,82,9,8.72,clear sky
137,Lagoa,PT,39.05,-27.9833,59.49,88,92,25.52,overcast clouds
138,Cayenne,GF,4.9333,-52.3333,81.09,1,75,5.99,broken clouds
139,Puerto Ayora,EC,-0.7393,-90.3518,78.49,83,100,8.25,light rain
140,Blenheim,NZ,-41.516,173.9528,67.51,73,29,11.68,scattered clouds
141,Mountain Home,US,43.133,-115.6912,67.48,100,0,5.75,clear sky
142,Kamenka,RU,51.3223,42.7678,34.88,99,100,9.44,snow
143,Rocha,UY,-34.4833,-54.3333,64.53,81,97,10.13,overcast clouds
144,Santa Cruz Del Sur,CU,20.7147,-77.9956,74.57,83,92,15.64,overcast clouds
145,Nome,US,64.5011,-165.4064,25.11,68,0,3.44,clear sky
146,Boditi,ET,6.9667,37.8667,58.59,75,40,5.41,scattered clouds
147,Upernavik,GL,72.7868,-56.1549,12.22,87,100,6.44,overcast clouds
148,Coquimbo,CL,-29.9533,-71.3436,62.26,83,4,4.03,clear sky
149,Barrow,US,71.2906,-156.7887,1.42,78,0,19.57,clear sky
150,Narsaq,GL,60.9167,-46.05,25.02,78,1,5.73,clear sky
151,Bandarbeyla,SO,9.4942,50.8122,74.77,66,22,6.13,few clouds
152,Manta,EC,-0.95,-80.7333,78.58,89,100,2.3,overcast clouds
153,Kahului,US,20.8947,-156.47,78.82,68,75,13.8,broken clouds
154,Tucurui,BR,-3.7661,-49.6725,74.84,96,100,3.04,light rain
155,Tuatapere,NZ,-46.1333,167.6833,64.76,60,0,3.15,clear sky
156,Vestmannaeyjar,IS,63.4427,-20.2734,45.61,96,100,10.02,overcast clouds
157,Bluffton,US,32.2371,-80.8604,66.16,31,0,10.36,clear sky
158,Manga,BF,11.6636,-1.0731,86.31,23,25,2.68,scattered clouds
159,Ballina,AU,-28.8667,153.5667,71.56,96,100,4.61,overcast clouds
160,Nanortalik,GL,60.1432,-45.2371,25.86,84,100,6.06,overcast clouds
161,Aflao,TG,6.116,1.1914,84.33,84,20,9.22,few clouds
162,Araouane,ML,18.9048,-3.5265,78.66,32,57,5.5,broken clouds
163,Derzhavinsk,KZ,51.1,66.3167,24.64,96,100,11.01,light snow
164,Guerrero Negro,MX,27.9769,-114.0611,65.68,70,0,14.83,clear sky
165,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,93,100,8.05,overcast clouds
166,Saint George,US,37.1041,-113.5841,86.59,9,0,3.44,clear sky
167,Fort Nelson,CA,58.8053,-122.7002,35.19,44,20,0.0,few clouds
168,Hualmay,PE,-11.0964,-77.6139,70.34,80,93,8.23,overcast clouds
169,Lahij,YE,13.1667,44.5833,72.45,68,69,2.73,broken clouds
170,Bezenchuk,RU,52.982,49.4333,36.07,89,100,18.16,overcast clouds
171,Port Hardy,CA,50.6996,-127.4199,50.18,76,100,9.22,overcast clouds
172,Nago,JP,26.5881,127.9761,64.83,94,100,10.92,light rain
173,Mayna,RU,54.1135,47.6231,32.72,98,100,11.74,light snow
174,Mananara,MG,-16.1667,49.7667,75.25,93,26,3.27,scattered clouds
175,Lompoc,US,34.6391,-120.4579,70.7,80,0,11.5,clear sky
176,Saint-Pierre,RE,-21.3393,55.4781,75.9,74,0,4.61,clear sky
177,Sola,VU,-13.8833,167.55,88.47,70,75,0.0,broken clouds
178,Mayumba,GA,-3.432,10.6554,77.7,90,73,6.35,light rain
179,Caravelas,BR,-17.7125,-39.2481,76.91,87,4,5.48,clear sky
180,Kotovo,RU,50.3211,44.8012,37.02,81,100,22.48,overcast clouds
181,Maningrida,AU,-12.0667,134.2667,85.73,57,98,3.58,overcast clouds
182,Karratha,AU,-20.7377,116.8463,83.52,69,85,8.43,overcast clouds
183,Hambantota,LK,6.1241,81.1185,73.74,100,2,2.3,clear sky
184,Verkhniy Landekh,RU,56.8389,42.5994,28.78,93,100,10.22,light snow
185,Sinaloa,MX,25.0,-107.5,77.61,25,100,4.21,overcast clouds
186,Cidreira,BR,-30.1811,-50.2056,67.69,74,95,9.82,overcast clouds
187,Kyzyl-Suu,KG,42.3414,78.0056,38.17,77,100,6.78,overcast clouds
188,Bridgewater,CA,44.3835,-64.5155,44.11,85,100,13.8,overcast clouds
189,Ust-Omchug,RU,61.15,149.6333,5.76,85,82,3.29,broken clouds
190,Mwene-Ditu,CD,-7.0,23.45,66.33,97,100,3.6,overcast clouds
191,Cherskiy,RU,68.75,161.3,-1.62,87,100,9.22,overcast clouds
192,Korla,CN,41.7597,86.1469,45.45,49,94,3.2,overcast clouds
193,Borogontsy,RU,62.6683,131.1683,17.53,92,100,3.15,overcast clouds
194,Chumikan,RU,54.7183,135.315,17.71,90,100,6.15,overcast clouds
195,Buala,SB,-8.145,159.5921,80.1,85,100,11.56,overcast clouds
196,Soyo,AO,-6.1349,12.3689,79.57,90,100,7.94,light rain
197,Mirador,BR,-6.3708,-44.3631,74.88,84,75,2.59,broken clouds
198,Ciudad Bolivar,VE,8.1222,-63.5497,83.25,58,100,12.33,overcast clouds
199,Isangel,VU,-19.55,169.2667,86.11,66,40,4.61,scattered clouds
200,Tiksi,RU,71.6872,128.8694,-7.01,99,97,2.28,overcast clouds
201,Codrington,AU,-38.2667,141.9667,77.72,35,0,8.86,clear sky
202,Lavrentiya,RU,65.5833,-171.0,17.65,88,100,3.74,overcast clouds
203,Ostrovnoy,RU,68.0531,39.5131,20.32,58,100,12.84,overcast clouds
204,Taoudenni,ML,22.6783,-3.9836,80.69,15,70,8.21,broken clouds
205,Trinidad,BO,-14.8333,-64.9,65.37,81,100,2.8,overcast clouds
206,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,11.5,overcast clouds
207,Katherine,AU,-14.4667,132.2667,89.92,55,96,5.75,overcast clouds
208,Cartagena,CO,10.3997,-75.5144,80.22,78,75,8.05,broken clouds
209,Aklavik,CA,68.2191,-135.0107,5.63,86,100,8.23,overcast clouds
210,Ponta Do Sol,PT,32.6667,-17.1,65.01,84,100,19.33,overcast clouds
211,Daru,PG,-9.0763,143.2092,82.67,78,99,12.62,overcast clouds
212,Ordzhonikidze,KZ,52.4411,61.7408,0.88,100,100,5.77,overcast clouds
213,Owo,NG,7.1962,5.5868,76.14,84,53,3.76,broken clouds
214,Fortuna,US,40.5982,-124.1573,58.93,75,0,12.66,clear sky
215,Mangan,IN,27.5167,88.5333,66.96,46,19,3.6,few clouds
216,Ugoofaaru,MV,5.6667,73.0,81.63,65,0,5.95,clear sky
217,Severo-Kurilsk,RU,50.6789,156.125,32.9,98,100,23.53,snow
218,Prince Rupert,CA,54.3161,-130.3201,42.89,93,100,6.91,light rain
219,Beringovskiy,RU,63.05,179.3167,10.9,90,87,4.54,overcast clouds
220,Xining,CN,36.6167,101.7667,33.24,50,5,2.01,clear sky
221,Beloha,MG,-25.1667,45.05,70.2,97,99,6.38,overcast clouds
222,Ridgecrest,US,35.6225,-117.6709,87.66,6,0,18.41,clear sky
223,Fevik,NO,58.3794,8.6766,36.09,80,95,7.11,overcast clouds
224,Port-Cartier,CA,50.0334,-66.8654,30.74,98,85,2.01,overcast clouds
225,Namatanai,PG,-3.6667,152.4333,85.62,66,68,4.5,broken clouds
226,Damietta,EG,31.4165,31.8133,55.29,79,0,9.13,clear sky
227,Kollam,IN,8.8833,76.6,78.04,84,18,3.58,few clouds
228,Souillac,MU,-20.5167,57.5167,77.38,94,75,3.44,broken clouds
229,Cockburn Town,TC,21.4612,-71.1419,77.92,70,14,3.36,few clouds
230,Banda Aceh,ID,5.5577,95.3222,80.85,80,9,4.07,clear sky
231,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.19,99,100,2.77,moderate rain
232,Kavieng,PG,-2.5744,150.7967,84.13,68,100,2.26,overcast clouds
233,Pangnirtung,CA,66.1451,-65.7125,14.94,68,34,8.03,scattered clouds
234,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,3.44,broken clouds
